Secretaria_de_Atencao_Primaria_a_Saude_-_SAPS/MS_,Unnamed:_1,Unnamed:_2,Unnamed:_3,Unnamed:_4,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Unnamed:_9
1,5,985,3505,19948,1,6320,3,0,1204
1,15,1513,3604,21579,1,9917,3,0,596
0,8,4068,1091,6861,1,21247,3,0,602
1,15,1484,2740,24301,1,26407,3,0,825
1,15,1470,2502,5857,1,9231,3,0,607
1,5,845,303,15632,1,5016,3,0,1416
5,22,3722,2569,3990,1,19761,3,0,1077
4,25,3193,3461,20873,1,18182,3,0,542
4,25,3147,2995,13587,1,17928,3,0,145
4,10,2496,2269,3519,1,23575,3,0,1273
1,4,1918,1962,13375,1,12345,3,0,640
1,15,1397,642,19895,1,8573,3,0,562
4,7,2791,3357,9991,1,28043,8,0,1009
4,10,2257,967,24240,1,26176,3,0,1362
0,8,4189,3570,22062,1,21626,3,0,1251
5,23,3426,615,9941,1,19065,3,0,538
4,18,2851,3833,4667,1,16722,3,0,867
1,4,1708,5,15211,1,11167,3,0,1510
2,13,223,2939,18550,1,1670,3,0,1068
4,25,3228,3750,2149,1,18444,3,0,626
1,5,990,3418,7716,1,6362,3,0,1341
0,12,3936,1054,7108,1,20724,3,0,781
1,1,1631,3525,22043,1,22575,3,0,1001
0,6,4217,524,110,1,26589,3,0,575
4,10,2577,2819,14812,1,15200,3,0,775
2,21,122,759,10556,1,859,3,0,65
4,18,2840,3480,4659,1,24942,3,0,845
0,6,4217,524,117,1,26076,3,0,799
0,6,4217,524,22666,1,21941,3,0,821
0,11,3875,1769,6561,1,20448,3,0,1036
4,25,2901,464,17430,0,31262,3,0,1204
4,25,2940,1047,16165,1,17197,3,0,976
4,18,2851,3833,21338,1,16744,3,0,594
1,16,732,2202,6465,1,28995,3,0,1584
1,15,1482,2680,11442,1,9408,3,0,782
0,11,3904,3396,6549,1,20570,3,0,929
1,9,458,917,14328,1,29878,3,0,1336
4,10,2505,2330,18147,1,14881,3,0,912
5,17,3323,2009,10479,1,18746,3,0,633
1,1,1621,2873,19198,1,10667,3,0,1562
2,20,19,3972,13584,1,23562,3,0,1138
0,8,4101,1482,10412,1,21345,3,0,809
0,11,3855,684,192,1,20241,3,0,860
1,15,1376,232,17016,1,30579,3,0,926
2,13,141,140,5492,1,968,3,0,1465
1,4,1774,651,8593,1,11508,3,0,243
1,15,1421,1265,14357,1,8796,3,0,618
1,15,1512,3545,11535,1,9889,3,0,1083
4,10,2323,1270,2832,1,14089,3,0,954
2,20,10,1853,9322,1,58,3,0,853
4,10,2730,3778,24231,1,26283,3,0,1053
4,10,2118,106,19740,0,13303,3,0,126
4,25,3191,3454,1868,1,18121,3,0,880
0,12,4003,3722,8740,1,20976,3,0,775
1,16,636,470,282,1,3909,3,0,1339
5,23,3420,443,15081,1,19046,3,0,1262
4,10,2730,3778,23215,1,24955,3,0,1367
4,25,3031,1957,13657,1,17615,3,0,596
2,2,92,2081,1423,1,625,3,0,1344
1,1,1545,218,1044,1,10147,3,0,905
1,4,1800,902,16601,1,11659,3,0,607
0,11,3871,1555,6682,1,20429,3,0,1205
0,8,4176,3162,10388,1,21595,3,0,908
1,19,1065,1822,15927,1,6820,3,0,623
4,25,3133,2856,2358,0,17877,3,0,998
4,10,2505,2330,18149,1,14883,3,0,544
5,23,3476,2250,12192,1,19201,3,0,1471
1,5,922,1889,7761,1,5740,3,0,1543
4,10,2168,521,14916,1,13509,3,0,1149
1,4,2093,3986,9215,1,13188,3,0,573
0,11,3859,1008,21943,1,22398,3,0,574
1,5,925,2003,19912,1,5814,3,0,1171
4,18,2829,2658,4734,1,25630,3,0,1044
1,4,1975,2530,16946,1,30352,3,0,1350
1,16,677,1105,24438,1,4043,3,0,629
2,2,92,2081,1442,1,27447,3,0,930
0,6,4217,524,24379,1,21908,3,0,986
4,18,2794,233,558,0,28724,8,0,1563
5,22,3612,963,4267,1,19562,3,0,1046
2,0,44,1207,981,1,249,3,0,923
5,17,3398,3891,10384,1,18987,3,0,1404
1,16,784,3268,6486,1,4498,3,0,530
0,6,4217,524,128,1,28602,3,0,1015
2,13,149,422,5619,1,31162,3,0,543
4,10,2386,1598,3512,1,14313,3,0,814
1,4,1890,1715,11748,1,12190,3,0,100
4,25,3199,3556,2376,1,31604,3,0,1025
1,4,1983,2672,10008,1,12644,3,0,1005
1,4,1848,1509,22181,1,22787,3,0,640
4,10,2269,995,2887,1,27911,3,0,1315
1,4,1887,1696,7509,1,12164,3,0,910
1,19,1143,3699,6822,1,7257,3,0,596
4,18,2806,1200,4495,1,16233,3,0,0
0,6,4217,524,15741,1,21934,3,0,1114
0,8,4026,177,23155,1,24874,3,0,909
4,10,2423,1801,21178,1,30268,3,0,621
1,9,423,317,23382,1,25149,3,0,789
2,13,149,422,5702,1,1124,3,0,1059
1,19,1011,58,7355,1,6560,3,0,1277
5,22,3580,618,3890,1,19496,3,0,572
4,10,2695,3662,3791,1,15635,3,0,567
0,11,3865,1168,12466,1,20380,3,0,1394
1,16,818,3769,8100,1,4694,3,0,956
4,10,2447,1973,22000,0,22560,3,0,1339
5,23,3451,1605,12184,1,19130,3,0,932
1,5,949,2524,272,1,28618,3,0,1127
1,1,1546,291,1136,1,10191,3,0,1262
1,5,858,720,8947,1,5130,3,0,929
1,1,1593,2123,14341,1,10525,3,0,1050
4,7,2792,3971,22386,1,16100,3,0,1328
1,5,842,235,5648,1,4994,3,0,595
1,5,964,2766,9097,0,6153,3,0,618
4,10,2610,3077,23442,1,22088,3,0,583
0,11,3872,1591,9927,1,20434,3,0,1410
1,9,575,3600,11733,1,3441,3,0,1081
4,18,2839,3289,4440,1,16662,3,0,948
1,5,990,3418,24713,1,25147,3,0,532
1,16,818,3769,17954,1,4761,3,0,1199
1,4,1827,1242,22661,1,24045,3,0,1634
4,25,2980,1462,15248,1,17450,3,0,1003
2,13,154,515,24101,1,25883,3,0,921
1,15,1502,3208,20666,1,9832,3,0,899
1,15,1529,3785,7816,1,10021,3,0,932
2,2,100,2631,1457,1,728,3,0,597
1,4,1744,378,20609,1,11358,3,0,1298
1,16,756,2639,24162,1,26003,3,0,1459
1,9,594,3787,614,1,3642,3,0,1491
2,21,121,728,21192,0,27086,3,0,640
0,6,4217,524,24450,1,21853,3,0,579
1,4,2085,3921,9686,1,13128,3,0,1237
5,17,3314,1773,19742,1,18715,3,0,1128
1,14,1341,3687,22197,1,22885,3,0,1112
2,26,372,2883,17313,1,2282,3,0,1009
1,9,561,3222,9840,1,3382,3,0,0
2,2,92,2081,592,1,28741,3,0,422
2,13,182,1545,20140,1,1399,3,0,976
1,19,1021,343,23539,1,6610,3,0,1500
2,13,138,69,14028,1,29754,3,0,1037
0,8,4101,1482,20223,1,21347,3,0,530
1,15,1480,2663,12563,1,9349,3,0,1544
1,19,1040,2637,8763,1,6730,3,0,931
4,10,2372,1521,21455,1,14266,3,0,1218
4,25,2924,774,18867,1,30880,8,0,994
1,5,845,303,22801,1,24252,3,0,1485
1,1,1638,3767,22944,1,24524,3,0,1009
1,15,1378,354,11338,1,8429,3,0,633
